# fasce p25-p75 dei descrittori sulle righe in cui l'eccitatore/forma vince (selector_dataset.csv)
kind,name,n_rows,spectral_centroid_lo,spectral_centroid_hi,spectral_spread_lo,spectral_spread_hi,spectral_rolloff_lo,spectral_rolloff_hi,spectral_flatness_lo,spectral_flatness_hi,roughness_lo,roughness_hi,harmonic_tension_lo,harmonic_tension_hi,inharmonicity_lo,inharmonicity_hi,formant_f1_lo,formant_f1_hi,formant_f2_lo,formant_f2_hi,formant_f3_lo,formant_f3_hi,mod_rate_lo,mod_rate_hi,mod_depth_lo,mod_depth_hi,attack_time_lo,attack_time_hi,decay_time_lo,decay_time_hi,pitch_lo,pitch_hi
exciter,bird,114,2516.72,6229.63,1121.86,3018.86,1418.31,5117.61,0.222394,0.697413,0.120012,0.67713,0.182112,0.759153,0.0941251,0.720277,855.778,1579.68,1482.09,2887.67,2373.42,4795.58,1.42024,13.4058,0.218342,0.718017,0.118844,1.3656,0.68194,1.69789,759.702,2803.79
exciter,blow,104,1044.56,5604.92,1028.49,2859.34,1035.69,5734,0.137167,0.683577,0.115185,0.696058,0.351953,0.806566,0.0949005,0.729524,380.065,1318.1,808.141,2546.02,2014.85,3770.64,0.931498,11.4619,0.100929,0.698235,0.346568,1.48455,0.677925,1.69943,291.544,2923.6
exciter,bow,79,1340.15,5484.75,1205.14,3319.09,1016.05,5338.51,0.159464,0.575667,0.210551,0.722494,0.334367,0.855422,0.0521213,0.670138,475.479,1505.15,1303.32,2736.96,1659.91,3444.3,0.999552,14.7158,0.0496286,0.688253,0.298576,1.4876,0.678091,1.84602,294.053,2889.41
exciter,chaos,174,1976.63,6122.59,1329.86,3157.85,1535.22,5226,0.217699,0.629681,0.186856,0.691713,0.262665,0.834312,0.20761,0.682393,493.679,1401.35,1165.6,2780.23,2018.98,4318.08,3.18253,13.8604,0.177826,0.667546,0.794527,1.69145,0.336422,1.53316,887.884,3214.93
exciter,mechanical,223,2447.32,6416.88,1801.48,3302.55,1695.43,5872.17,0.198532,0.645921,0.159476,0.703282,0.316298,0.748775,0.223246,0.753332,654.484,1408.48,1306.18,2853.5,2150.08,4698.83,4.55226,14.6225,0.254901,0.758278,0.651691,1.57132,0.63261,1.58822,904.059,2913.26
exciter,noise,237,2182.03,6251.15,840.74,2997.72,1568.4,6002.1,0.263176,0.808919,0.155438,0.661493,0.32154,0.838295,0.185768,0.758524,529.608,1376.31,1182.74,3040.81,1752.07,4659.18,6.19732,14.0121,0.243313,0.72797,0.455751,1.43822,0.30147,1.31596,1066.88,3064.16
exciter,pluck,69,989.651,4695.23,1566.22,2590.95,430.664,4220.51,0.160941,0.419804,0.0201974,0.558881,0.419113,0.890709,0.02678,0.501646,363.723,1042.19,1057,1822.02,1634.13,2782.41,0.674965,6.66589,0.0220845,0.363618,0.0798299,1.79414,1.39086,3.27755,203.899,2883.75
exciter,shaker,135,1683.28,5867.18,740.525,2669.04,1960.91,5759.48,0.261131,0.733921,0.298018,0.793607,0.298457,0.792459,0.201,0.71382,454.92,1459.98,1255.29,2955.99,1872.36,4664.38,2.68172,14.9191,0.20156,0.627175,0.309512,1.56882,0.844709,1.56099,872.19,3113.01
exciter,strike,184,1212.14,5754.32,1111.9,3056.73,833.715,5670.38,0.16303,0.629507,0.126423,0.706277,0.406,0.806508,0.128292,0.670408,338.894,1382.03,309.657,2258.5,392.24,2991.59,1.6505,13.5185,0.208758,0.630503,0.0632224,1.36136,0.480159,1.61398,703.543,2990.45
exciter,vocal,149,1808.69,5901.44,1562.61,3376.01,1485.79,6173.28,0.259182,0.708136,0.234822,0.880709,0.113879,0.777209,0.133118,0.678628,535.497,1456.27,1047.05,2278.36,2010.08,3842.36,2.01854,14.0017,0.292873,0.781476,0.230558,1.51763,0.35076,1.50125,624.153,2971
resonator,bar,157,1330.87,5914.41,1232.31,3283.05,1464.26,5118.65,0.164304,0.611451,0.0940596,0.735287,0.216542,0.863081,0.163293,0.744907,500.152,1452.18,1061.14,2639.25,2037.49,4136.97,1.16359,12.4323,0.252074,0.755801,0.206813,1.42663,0.529939,1.60397,659.531,3061.72
resonator,chaotic,282,1865.01,6217.69,1366.87,3223.91,1452.66,5817.13,0.202137,0.692976,0.209451,0.728113,0.260609,0.726016,0.214646,0.751083,538.987,1447,1196.43,2884.83,1809.29,4236.51,2.74765,15.0259,0.175278,0.745531,0.504182,1.57997,0.60231,1.55193,884.866,3074.84
